loss,accuracy,val_loss,val_accuracy,lr,policy
0.456237257,0.862703681,1.816092134,0.381166667,0.001,1
0.109712176,0.966388881,1.661344409,0.451333344,0.001,1
0.076705292,0.976814806,0.890344083,0.713166654,0.001,1
0.063196212,0.980925918,0.278995484,0.901333332,0.001,1
0.052374244,0.983481467,0.049283106,0.984666646,0.001,1
0.045488998,0.985833347,0.030276945,0.989833355,0.001,1
0.038634527,0.987685204,0.029788213,0.991166651,0.001,1
0.034899604,0.989759266,0.026268296,0.991333306,0.001,1
0.031550545,0.990037024,0.044832394,0.987666667,0.001,1
0.030744269,0.990574062,0.026411448,0.992333353,0.001,1
0.026252052,0.991888881,0.024482587,0.992999971,0.001,1
0.025554305,0.991574049,0.024869166,0.992833316,0.001,1
0.021822128,0.993166685,0.024692452,0.992999971,0.001,1
0.021697989,0.993092597,0.030082628,0.990666687,0.001,1
0.020085711,0.993314803,0.029105866,0.991666675,0.001,1
0.020560253,0.993759274,0.027462989,0.992333353,0.001,1
0.018256474,0.994129658,0.025840653,0.992666662,0.001,1
0.018536953,0.994185209,0.028066238,0.991666675,0.001,1
0.016069302,0.99496299,0.022876674,0.993499994,0.001,1
0.015496478,0.995055556,0.024395902,0.993499994,0.001,1
0.014030805,0.995611131,0.024518695,0.993166685,0.001,1
0.012782298,0.995629609,0.029283794,0.991999984,0.001,1
0.014354071,0.995370388,0.027096769,0.99333334,0.001,1
0.012274832,0.996018529,0.026066139,0.99333334,0.001,1
0.011639389,0.996055543,0.02792526,0.993666649,0.001,1
0.012046098,0.995999992,0.025106959,0.992999971,0.001,1
0.012440667,0.995925903,0.025338298,0.993833363,0.001,1
0.010768902,0.996500015,0.026761871,0.993666649,0.001,1
0.011192271,0.99627775,0.022567121,0.994499981,0.001,1
0.011121589,0.996240735,0.027442681,0.992333353,0.001,1
0.011114947,0.996296287,0.023710486,0.994000018,0.001,1
0.008986798,0.997074068,0.022074422,0.994333327,0.001,1
0.009516453,0.996981502,0.022090273,0.993833363,0.001,1
0.009384066,0.996722221,0.026269689,0.992666662,0.001,1
0.009339117,0.996888876,0.030589979,0.991999984,0.001,1
0.01043617,0.996592581,0.026854815,0.99333334,0.001,1
0.007575158,0.997537017,0.027591491,0.993666649,0.001,1
0.008471966,0.997166693,0.027203344,0.993166685,0.001,1
0.008015853,0.997333348,0.02692898,0.993666649,0.001,1
0.008033464,0.997296274,0.034348212,0.992166638,0.001,1
0.008593196,0.996981502,0.029514598,0.993833363,0.001,1
0.007370902,0.997629642,0.025942616,0.994000018,0.001,1
0.005339115,0.998185158,0.024403458,0.994166672,0.000333333,1
0.003862055,0.99875927,0.024169074,0.994000018,0.000333333,1
0.003697505,0.998833358,0.025574939,0.99483335,0.000333333,1
0.003451939,0.998703718,0.025508998,0.99483335,0.000333333,1
0.002946333,0.999092579,0.024444081,0.994333327,0.000333333,1
0.003031208,0.999129653,0.023934036,0.995166659,0.000333333,1
0.002351757,0.999203682,0.024567313,0.995166659,0.000333333,1
0.002164177,0.999370396,0.02524632,0.994333327,0.000333333,1
0.002231687,0.999277771,0.025135826,0.994166672,0.000333333,1
0.00287559,0.999129653,0.025008256,0.994499981,0.000333333,1
0.001931363,0.999518514,0.025544342,0.994499981,0.000111111,1
0.002196328,0.999314845,0.026117053,0.994499981,0.000111111,1
0.0016571,0.999592602,0.025789931,0.99483335,0.000111111,1
0.001647841,0.999537051,0.025806274,0.994499981,0.000111111,1
0.001742051,0.999407411,0.026036525,0.99483335,0.000111111,1
0.001525173,0.999555528,0.025853083,0.995000005,0.000111111,1
0.001737502,0.999499977,0.026631903,0.99483335,0.000111111,1
0.001627034,0.999518514,0.025007421,0.99483335,0.000111111,1
0.001564941,0.999518514,0.026449272,0.994666696,0.000111111,1
0.00138782,0.999574065,0.025992924,0.994333327,0.000111111,1
0.001428587,0.999592602,0.02524367,0.995000005,3.70E-05,1
0.001564828,0.999574065,0.0256534,0.99483335,3.70E-05,1
0.001247028,0.999685168,0.025717832,0.995000005,3.70E-05,1
0.001244269,0.999685168,0.025349682,0.995000005,3.70E-05,1
0.001417309,0.999574065,0.025613887,0.99483335,3.70E-05,1
0.001547716,0.999444425,0.025545763,0.99483335,3.70E-05,1
0.00120134,0.999629617,0.025823621,0.994499981,3.70E-05,1
0.001283923,0.999703705,0.025943868,0.994666696,3.70E-05,1
0.000978125,0.999796271,0.026171684,0.994666696,3.70E-05,1
0.00121926,0.999629617,0.025649218,0.994666696,3.70E-05,1
0.288711399,0.915574074,0.745180845,0.795333326,0.001,2
0.183371648,0.944925904,0.318840772,0.917666674,0.001,2
0.132337794,0.959907413,0.196461827,0.948000014,0.001,2
0.112183034,0.966740727,0.20496285,0.945833325,0.001,2
0.112186313,0.966296315,0.154494971,0.953000009,0.001,2
0.084687389,0.974574089,0.118552104,0.967666686,0.001,2
